Activity Type,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Date
Running,Rzewnie Running,14.0,"1,099",12:25:55,158,177,4.6,168,180,00:04:39,4:01,66,65,1.28,00:00.90,15,01:04:53,01:16:03,83,103,2022-12-28
Running,Rzewnie Running,4.27,331,15:04:10,164,177,3.4,168,179,00:04:15,3:42,29,29,1.4,01:07.58,5,00:17:59,00:18:10,64,98,2022-12-27
Running,Stare Babice Running,8.91,732,15:46:40,151,162,3.8,165,177,00:04:59,4:09,38,41,1.22,04:31.25,9,00:44:15,00:45:47,90,107,2022-12-25
Running,Lund - 4x2km Cruise intervals,13.0,"1,024",16:51:17,160,185,4.9,167,184,00:04:33,3:46,22,17,1.32,00:33.13,17,00:58:46,01:01:21,26,41,2022-12-23
Running,Lund Running,8.23,661,18:33:53,136,149,3.1,161,171,00:05:32,4:51,34,33,1.12,01:15.28,9,00:45:17,00:50:12,24,56,2022-12-21
Running,Lund - 6x1km Cruise intervals,12.03,965,22:48:38,159,179,4.7,168,182,00:04:32,3:44,34,36,1.31,00:11.51,18,00:54:24,00:55:35,23,39,2022-12-18
Running,Lund Running,10.12,824,10:00:08,147,167,3.9,167,178,00:05:01,4:13,40,42,1.2,00:37.20,11,00:50:28,00:52:55,8,38,2022-12-17
Running,Lund Running,14.42,"1,164",22:33:55,154,171,4.4,165,186,00:04:51,4:11,54,42,1.25,02:06.22,15,01:09:41,01:19:39,30,59,2022-12-13
Running,Lund Running,22.09,"1,786",00:06:25,155,171,5.0,168,192,00:04:44,3:50,94,95,1.25,01:38.41,23,01:44:24,01:49:49,30,85,2022-12-07
Treadmill Running,Treadmill Running,10.2,789,21:36:30,141,151,3.4,169,190,00:04:55,3:46,--,--,1.16,00:52.24,7,00:50:00,01:01:40,--,--,2022-12-03
Running,Lund - 6x1km Cruise intervals,12.77,"1,040",22:15:57,160,185,5.0,166,183,00:04:34,3:41,34,36,1.31,00:10.51,21,00:57:46,00:59:20,26,38,2022-12-01
Treadmill Running,Treadmill Running,1.77,129,17:14:47,125,140,1.6,156,228,00:05:18,4:06,--,--,1.21,01:01.63,2,00:09:02,00:09:48.5,--,--,2022-11-29
Running,Lund Running,21.97,"1,812",12:14:53,155,174,5.0,169,210,00:04:47,4:06,84,82,1.24,04:22.48,22,01:44:41,01:57:43,-1,48,2022-11-27
Treadmill Running,Treadmill Running,3.11,273,21:51:14,152,179,3.2,166,175,00:04:53,4:05,--,--,1.24,07:15.93,2,00:15:12,00:15:12,--,--,2022-11-26
Treadmill Running,Treadmill Running,7.08,526,18:54:34,134,150,3.2,163,177,00:04:59,3:17,--,--,1.23,03:15.97,5,00:34:28,00:37:03,--,--,2022-11-23
Treadmill Running,Treadmill Running,9.09,708,20:31:04,140,165,3.9,164,175,00:04:57,4:21,--,--,1.12,01:14.06,6,00:44:24,00:45:04,--,--,2022-11-22
Running,Lund - Fartlek Run 12xtimes,10.06,847,21:23:44,158,175,4.6,165,184,00:04:44,3:36,28,26,1.28,01:00.00,30,00:47:18,00:47:55,26,38,2022-11-18
Running,Lund Running,10.4,880,20:12:44,148,174,4.2,164,179,00:05:08,3:58,38,44,1.19,00:31.27,12,00:53:10,00:55:42,8,43,2022-11-16
Running,Lund Running,7.24,590,18:16:13,131,145,2.9,160,171,00:05:46,3:57,47,40,1.09,00:29.11,9,00:41:27,00:45:37,29,64,2022-11-15
Running,Lund Running,16.79,"1,460",11:14:59,157,173,5.0,165,181,00:04:59,4:15,75,77,1.22,03:22.48,11,01:22:47,01:27:48,7,42,2022-11-13
Running,Lund - Fartlek Run 12xtimes,10.15,841,18:15:45,145,169,4.0,162,182,00:05:02,3:32,42,32,1.22,00:03.01,29,00:50:42,00:54:21,14,47,2022-11-10
Running,Lund Running,9.01,773,16:20:17,159,173,4.4,164,179,00:04:41,3:56,28,29,1.3,04:39.99,6,00:41:47,00:43:10,8,38,2022-11-08
Running,Lund Running,1.02,88,16:02:45,152,167,2.0,155,173,00:04:57,3:58,--,22,1.3,05:03.07,1,00:04:53,00:05:06.0,39,62,2022-11-08
Running,Lund Running,4.57,293,09:48:38,144,160,3.0,161,172,00:05:21,4:36,26,26,1.16,02:56.94,5,00:24:12,00:25:12,26,42,2022-10-24
Running,Lund - 6x1km Cruise intervals,10.48,627,19:27:35,154,176,3.9,167,191,00:04:41,3:36,141,146,1.28,02:00.00,15,00:48:48,00:49:41,-73,39,2022-09-30
Running,Lund - Fartlek Run 12xtimes,9.2,541,19:24:03,145,170,3.4,163,185,00:04:57,3:34,67,66,1.24,00:05.06,30,00:44:57,00:51:07,26,50,2022-09-27
Running,Lund Running,13.51,850,12:37:09,156,183,4.5,167,179,00:04:54,3:55,89,97,1.22,02:05.29,14,01:06:03,01:06:31,7,43,2022-09-25
Running,Lund Running,1.6,109,12:14:48,129,147,2.0,130,184,00:06:26,3:46,8,4,1.21,03:58.79,2,00:09:35,00:11:23,31,38,2022-09-25
Running,Lund Running,7.02,416,18:11:36,152,169,3.5,165,178,00:04:37,4:10,29,29,1.32,00:07.46,8,00:31:56,00:33:57,10,35,2022-09-23
Running,Lund Running,1.59,100,19:45:00,143,164,2.3,157,174,00:05:32,4:27,48,54,1.16,00:09.93,3,00:08:24,00:13:17,30,72,2022-09-21
Running,Lund Running,11.49,689,18:16:41,144,178,3.7,161,183,00:05:04,2:57,65,63,1.22,01:06.59,13,00:57:31,01:02:29,8,42,2022-09-21
Running,Lund Running,10.37,641,10:45:54,160,180,4.4,166,179,00:04:36,3:56,69,66,1.31,01:31.38,11,00:47:09,00:52:22,26,77,2022-09-16
Running,Lund Running,6.43,375,18:10:01,133,146,2.8,163,172,00:05:16,4:33,49,44,1.17,02:12.97,7,00:33:42,00:33:50,8,41,2022-09-13
Running,Lund Running,12.42,744,18:57:07,149,166,4.0,163,175,00:04:51,4:11,91,92,1.26,01:55.61,13,00:59:56,01:00:43,7,50,2022-09-12
Running,Lund Running,5.07,303,08:50:39,148,164,3.2,164,177,00:04:45,4:07,5,14,1.28,00:18.91,6,00:23:59,00:24:16,28,39,2022-09-09
Running,Lund Running,2.9,177,18:07:13,138,157,2.1,154,174,00:05:10,4:23,22,19,1.25,04:21.51,3,00:00:00,02:17:52,-14,51,2022-09-04
Running,Lund Running,2.2,132,15:15:13,150,164,2.5,164,175,00:04:44,4:06,4,15,1.29,01:51.93,3,00:00:00,00:10:30,29,45,2022-09-03
Running,Lund Running,3.98,223,14:47:25,147,179,2.9,155,183,00:04:42,3:25,40,--,1.35,00:12.27,8,00:00:00,00:27:23,5,48,2022-09-03
Running,Lund Running,10.01,619,13:40:10,155,172,4.1,166,178,00:04:49,3:58,30,67,1.25,00:02.45,11,00:00:00,00:50:36,-1,42,2022-08-28
Running,Lund Bieganie,5.81,372,18:13:22,166,185,3.8,165,177,00:04:42,3:43,46,36,1.29,03:28.28,6,00:27:14,00:27:27,23,44,2022-08-26
Running,Lund Bieganie,5.02,295,19:17:45,157,172,3.4,162,174,00:04:29,4:00,34,34,1.37,00:06.48,6,00:22:04,00:23:52,28,43,2022-08-25
Running,Izabelin Bieganie,6.01,355,12:13:35,154,173,3.5,162,175,00:04:50,4:02,31,31,1.27,00:02.60,7,00:28:45,00:30:00,91,102,2022-08-15
Running,Warszawa Bieganie,6.2,358,10:54:10,145,171,3.2,160,181,00:05:02,3:53,58,64,1.24,00:09.00,8,00:31:03,00:33:14,78,94,2022-08-08
Running,Czaplinek Bieganie,1.36,118,17:58:08,111,128,0.5,66,160,00:18:05,8:30,12,13,0.85,08:24.84,2,00:19:17,00:24:59,148,155,2022-08-05
Running,Czaplinek Bieganie,3.99,259,09:59:46,156,176,3.0,162,170,00:05:18,4:43,13,13,1.17,05:05.96,4,00:21:02,00:21:28,148,155,2022-08-04
Running,Warszawa Bieganie,7.41,452,22:26:53,157,178,3.8,164,179,00:04:48,4:08,81,89,1.27,01:51.04,8,00:35:20,00:36:18,77,92,2022-08-01
Running,Izabelin Bieganie,6.83,412,12:35:17,140,158,2.9,155,181,00:05:42,4:40,148,144,1.13,04:57.87,7,00:37:30,00:41:46,90,153,2022-07-24
Running,Warszawa Bieganie,9.01,604,15:29:28,174,189,4.3,161,230,00:05:04,4:25,125,126,1.23,01:34.47,10,00:45:16,00:56:59,77,103,2022-07-22
Running,Rzewnie Bieganie,6.33,385,19:32:47,148,158,3.2,164,175,00:05:05,4:41,44,45,1.2,01:42.58,7,00:32:12,00:32:14,81,95,2022-07-17
Running,Warszawa Bieganie,0.08,5,00:48:31,130,144,0.4,130,170,00:06:41,4:54,--,--,1.16,00:31.75,1,00:00:26,00:00:31.8,119,121,2022-07-16
Running,Warszawa Bieganie,6.88,430,19:22:37,146,171,3.3,162,185,00:05:24,4:18,70,71,1.14,04:14.87,7,00:36:37,00:39:13,80,96,2022-07-06
Running,Warszawa Bieganie,6.69,420,21:51:15,150,171,3.4,163,207,00:05:11,3:53,62,64,1.18,03:35.89,7,00:34:29,00:35:51,74,87,2022-07-04
Running,Warszawa Bieganie,1.88,112,19:29:17,132,154,2.1,161,189,00:05:34,4:39,"14,819","14,842",1.12,04:40.67,2,00:10:12,00:11:16,77,"7,514",2022-07-02
Running,Warszawa Bieganie,3.89,246,18:14:59,150,163,3.0,162,174,00:05:13,4:32,85,58,1.19,04:50.14,4,00:20:03,00:21:52,74,133,2022-07-02
